index Label,Tweet Text
0,mb forgot to move the elf on shelf and now 10 is asking me if christmas is real   
0,happy new year  da  thanks sobra for this year   
0,watch megatron fromtransformers rant about social media  
0,notworking when are we able to download games we paid in good faith psn start working again 
1,i just wrote a 13 page paper   i was awfully tired when i was writing it and now i cannot sleep   
0,happy birthday skip  we will always love you phillieslegend
0,or a trout  or northern pike 
0,one of my favorite things to do is to make people wonder  it was completely unintentional but buying bogs mud boots in a dress will do it
0,watching sanjay     getting the start vs  butler and liking what i see minny
1,there is no better way to start the week than to get your wisdom teeth taken out at 8 am  not    
1,the most exciting way to start a friday  a presentation on structurally deficient bridges   lobbyinglife
0,new shirtnewshirtimsorryitsjustiliterallydonotcareatall
0,it was not for one person  it was a business expense 
0,hahahaha   oops  i m addicted to tweets soo funny  you got to follow him forhilarious  tweetsrt 
0,absolutely loved it  well done all involved 
0,that was the case  not the recording so comparing the two is apple   oranges 
0,wow  lol  need cash in your hands today  go to notwunnotmca  
0,at least i do not have to clean the floor
1,incidentally the foreword for moviebhopalaprayerforrain is by subroto roy sahara   saying   justice delayed is justice denied   
1,our 3 losses followed bye weeks   an fcs team  do we get rid of those next year   
0,asksuperwomanlive if you could swim in any liquid besides water what would you swim in   4
0,one of the most embarrassing losses ever wtf
0,untrue   its cutler s fault
1,malala yousufzai receivesnobelpeaceprize andpakistan ranks in top 10 dangerous countries     
0,not so ugly christmas sweater red with red snowflakes   sequins cardigan 1x xl
1,testing water temperaturesexcitingtimesnot
1,waking up with your cat attacking your hand is always delightful  not
0,may not have hung out with you as much as some people  but every time we did it was a blast  you  
0,theusa isnot ademocracy  theusa is arepublic from ofgoverment  do youknowwhat thepledge ofallegiance say s 
1,i blame my mom  mother of the year  
1,pulling my books out to prepare to organize my new bookshelves caused me to forget to bring my book today   
0,to be fair  you did not use the mandatory   hashtag  p
0, i like the hope jan ellis writes with  the precision of the prose  and also thehumour and   she brings  
0,girls just wanna have fun work not friends only dance drinks antennagrouprocks by mariag  
1,the bay area storm is so big that tons of people s work was canceled today  causing me to be early to mine   stormageddon
0,I am from the uk and i honestly think your a goddess  i love how you speak your mind but have a gentle side lovepattiknows
1,leaving whilst its dark is fun not
0,please note   in last tweet before you kill yourself    many good pros including can show you best usage
0,my mum to be back with us for xmas  
1,even though  s got more ex wives than majors  I am happy for that washed up mess  not  blocked
0,ucan make moneytweeting this info w  new app     news   
0,take me too churchnot
1,a  republican move  which will  effectively rob the royals   kate s spending 32k on1meal  who is being robbed   
1,obama announce special urgent package forpakistan    supported by to enhance their fight against obscurantists not
0,shirota yu and   inoue yoshio  he was in mozart  apparently 
0,looking for quality music check  hot record  what about 
1,how is it possible that somebody so interesting is also so  so  so boring   what
0,not going this time  we might have a chance  fool me once  shame on you  fool me twice  fuckthat
0,minky wale tail fritter for price of a bijoux flat in port talbot 
1,  is the first to cut to ads during primetime to proudly announce that they are  putting journalism first    nlprimetime
1,    rbrnetwork1 i think it is your white skin  or  racist dna   he is a geneticist too  did ya know not
0,higoodmorninginstadailysnapchatselfiecomment  sleepdonotwakeup   happy
0,i just want to be done with finals4hoursleft
0,1 bed flattolet  550 pcm   127 pw  humphrey middlemore drive  harborne birmingham b17 
1,so there used to be a crossfit place here    pizzawins
0,when i start singing songs from once more with feeling to myself while at work  buffymusicalstuckinmyhead
0,I am heading off  but need to say this   just because i am concerned for my country  and it is people doesnot make me a racist terrorists
0,work hard in silence  let success make the noise 
0,now what has he said done  
1,watching alison jackson s portfolio of workeurobest2014 seems she is cracked it  celebrity   stunt  viral  
1,spending the majority of my day in and out of the doctor has been awesome   
0,  p s  strong tweet  particularly horatio s involvement in the mattersbloodlinecontinues xx
1,spnewsyxe i hope you were not driving when you took that picture   
0,my beautiful belles3daughters luckymehavefun   wicklow  
1,yeah thanks for messing me about and then not delivering on the product  i feel really great about how this went down  notthanks
0,aha  but white girl drinks make me  so so cray tipsy 
0,this is definitely me     me    ecardsecardsomecardteasefunnylol  
1,christmas alone  how nicenot
1,work wednesday sunday   yaynotmoneytho     
1,  gavy is one rude motherfucker   subtweets me   calls me a motherfucker   
0,access to housing is not a fundamental human right  according to ontario courts  onpolitopolicdnpoli
1,  been friendzoned too many times in my life  the perks of being the good guy  lifeall my life this has happened
1,  you want to see something irish  of all the reasons to be closed     
0,and then my sister should be home from college by time i get home from babysitting  and it is payday  this is a good friday
0,oh dear  some people do not get    
1,yay for fire alarms at 3amnot
1,i just drank a healthy  homemade  all fruit smoothie  in a beer glass   
1,should i buy these  and become a full time hipster  lol not  
1,just paid  2 59 for gas thanksobama  
0,you are most welcome  loved the post  d
0,cannot take my eyes off you  via
1,i am so ready for monday     
0,rollins was so pissed off haha
0,i do love a chilled night in  saves having a hangover to  thank you hun x
1,if it got the attention of the smartass to comment that   didnt it work anyway    
1,when you are sick and you feel bad for your cells cause they are fighting hard for you blessedappreciative  kinda
0,does this look properlyshaded   i thinknot      shadingtechniquescube3dviewlearningdamn isucksob 
0,company profile forget me not pet cemetery   forgetmenotpetcemetery
0,guys   you have just smashed it  wheredobrokenheartsgoxfactorfinal
0,i wanna be at home already
0,just realized my last final is tomorrow  faa 
1,christian europe translated islamic manuscripts  
1,aaand now I have found out that chrome slows down downloads when the screen saver activates  just makes me love it more  
0,the fact that this time next week I will be getting my wisdom teeth out   chipmunk
1,way to lay out yesterday and put it all on the linegoodleader  
0,two years later   gingerbread house making still makes me cry 
1,amar singh gives a  rating to the modi govt but arunshourie says more is said than done in present govt  politics
1, thats a twist algorithms to cause more congestion   increase pollution too bizarre to be truenot
0,  is a service i offer 
0,phatsexyasspicnic picnic porked tiffany
1,I am absolutely positive that coaches love it when parents tell them how to coach and run their program   notsticktoparenting
0,nice touch  all the bar staff in the ground wearingsaintsfc t shirts
1,trust me it will be out of form scandinavian reef again to  do love i see    fcbarcelonamcfc
1,i literally love when someone throw me in at the deep end  toughlife
0,agree with that  wearenotmindreadershaha   repost 9gag  you may think we are  but we are  
0,day ninth december to have a pint at the boars head  not really still in bed  
0,speed cameras in whipton by village shops    yes it takes 5 police officers    wasteofmoneydoesnottakefiveindividuals    
1,picked an excellent day to get my hair done    
0,his daughter is painting his toes  that is a parenting win in my book 
0,cannot say no to that try now  lets go we can do thiscoyq
0,abc takes a look at  the turkey song  by   make it a classicthanksgiving  
1,waking up with a pounding headache is just what i need for this final  
0,can always count on you to speak to me on here then delete the messages so it looks like I am talking to myself   
0,stop by and pick up alexandra s book with a coupon 
0,i swear we must be twins
0,some days are just better than others  
0,after getting a total of 4 hours of sleep in 2 days  i finally got good sleep last night 
0,her name is not superwoman  wonder woman  nor dorothy from the wizard of oz  women of excellence
1,i did not realize boston coach also operated in chicago  brands
0,and that  somebody  thought you were padoin sister lol   fail
0,once again is re writing history re cubaembargo    primal scream tcot
0,wow  look what the nfl rams player who did  hands up  do not shoot  pose has been arrested for   via ferguson
1,someone needs to stop me before i kill someone   love waking up in the worst fcking moodnot
1,what to do with that oldmotherboard you have laying around not guitarpicks
0,joe cole just casually walking past  
0,am i the only one who finds it very stressful when theorionlaunch feed keeps buffering    
1,no    now someone will start a rumor of  abbv pricing their hcv drug same or higher than  gild  
0,never seen the gym so packed
0,  got mentions      mgwvautofollowretweetrtmuzzateamfollowbacktfbjp500adayrt2gain         whos wants to be next 
0,remember to raise a glass of merry to those who are at work keeping the world safe on christmas             essentialservice
0,wishing everyone a happy  healthy  and prosperous new year  
1,yes  and conventional taxis drive verry safely pfft  
1,just ranted on and the moment I am about to hit send  my ipod just died greatmorningnot
0,30 week scannotlongnowexcitingmemoryallgoodhappyclearbabyboy   portlaoise  
0,obama and hillary convinced ukraine that they would protect them if they essentially disarm  need to keep at least one promise 
1,i just enjoy throwing upnothatethissickwannagotoschoolforoncetakemeaway
1,i actually think he needs to use the youngsters in this reincarnation  
1,what a golden morning   not
0,sleep  sleep you stupid idiot i wanna leave my room
0,liberal  leftists useracist sexistlabel for   dislikes msnbc host ed schultz said racistnot to support demand forminimum wage  sad
0,read at the news   obama theamericanwayoflifeisnotagift 
0,really missing my momma today   more than usual  i do not think today will be a good day
0,nevermind that  but do pray tell would scherzy still play grizabella 
1,everyone wants the truth but nobody wants to be honest    
0,i will not be surprised if shelling across pak border intensifies during delhi elections to change issues of election s 
0,every inch of you is perfect from the bottom to the top unless you are skinnyshade  themoreyouknow
0,take a look at those calves        ladies love the calves notaboutthearmsitsabout  
0,your tongue in cheek weigh in does nothing but instigate breed specific hate  stick to reporting on tuques yyj
1,  you think my mom and i would get along better  she is a middle child too   middlechildsyndrome
1,is not this blaming the victim    rt every year  600k college students are injured while drunk 
1,that time when ward was mad because skye hide a secret from him  skyewardagentsofshield
1,while we applauded ourselves on getting to the moon  carl sagan spoke a truth we all denied   
0,can holidays last forever  happytimessundayoutmewearingwyoustoreselenawearswyouchanelboybagchanel  
0,watching trich vlogs helps me alot with my trich condition       
0,photo  orchid tassel chain mermaid dress  39 99 onesize leave email for invoice
0,this game is pathetic  how are they losing this game 
0,bromanceshmomance i just checked and he has zero zero mentions asking if louis was there none nada not  
1,being a light sleeper is the best not
0,schools in india praying for  peshawarattack victimsprayforpakistan   
0,the only company i thought would be best for the thesis is unfortunately taken already   a year ago  
0,not worried about it  whenevs  
0,not enough  unfortunately 
0, please email me captainpc com or contact through dm myself or  ihavedmaddressdetailsbutnot had reply
1,hahaha yeah i think so too cause you know how she loves her with all her heart     not   
0,it is reallynotgood  too have thereputation for stealing from girls    mr  mason   expect a call     
0,we need to stop using the words  racist     racism 
0,probably my favourite book  could not put it down  5stars 
0,from what i can tell  most strippers belong right where they arenocollegeneededadamsmithspecializationstrippers
1,dualistic  as in good and evil  right  because that does not apply to the real world    orcslive
1,consensus of absolute hilarious    michaelmann to lecture onprofessionalethics forclimatescientists 
0,5 dollar obx 1 dollar gboro gonelockitinlottoclubbankopendoumenturdeposit not criminal
1,i may or may not have put at the top of tree soon as he likes christmas time    
0,regarding myatt case  I have contacted the bb  fcc  and my states attorney general  next  wfaanotstopping
0,acronyms because we are cool as fuck  judge me 
0,only a true nightshift person would understand thisnightshifthardcoreteamworknotalways  
0,actually  it wasnt  it was purely economics
1,sunday is such a fun day to studynotewsaywhat
1,reunited with my pump this morning yaynot  
1,my dad s still gonna get me santa s gifts since it is my last year before 18  but i really do not know what to ask for    
1,remember that one time i worked both jobs while sick and it didnt suck at all    notworthit
0,I am really excited for next semester
0,actually  even delivery will not save some  o voted to let born alive die  also  look up  4th trimester abortions  
0,good luck finding someone to take the other side of that bet lol
1,it is good that very few businesses govts in em economies have borrowed much via dollar denominated loans from international banks   
0,     fitfamfitnesshealth
0,gtasanandreas2isnotcomingin2015  one media has released that gta san andreas 2 is coming in 2015  
1,what a great way to start the day  not  
0,i wonder what   of that 43  agree on what a private cloud is
0,if i were to ask  i want to stay here for as long as possible    thinking
1,just wait till cleveland comes again   
1, liberated  iraq    2014 one of bloodiest years with more than 36 00 victims  thank you  western liberators  
0,one hope this gets a rt recyclingroseshollywreathmerrychristmas
0,  tag a teammate who is so bad  he runs the line every week  I am sorry to say it is
0,easiest cl group with two rubbish teams but we won only 1 cl game   even that lucky last minute pen not good enough gutted
1,no one up  okay coolnot
0,npnowplayingnowlisteningmusicdon t let her pull you down bynew found glory from thealbum not with  
1,here we go again  thanks to all that claim to cover wvhs hoopnot highlanders beat parkersburg 76 75 on last second shot by
0,long day and its not going to be possible without my good friendcoffee
1,just lovee driving upstate in the snownot
0,if you know people who could talk power dressing and social media marketing  please let me know  thanks
1,i love getting up at 4 30 so i can wait on other ppl   
0,faux leather size zipper sleeveless scoop back midi dress size s  m  l price  39 99 leave email for  
1,and as much as i want to connect    i like only the people who dont want to     why oh why 
0,i saw a leaf blowing in the breeze  you could yell at that if you wanted to 
1,hold on a minute  are you saying all blonde white women look the same    
1,gotta love those racially based awards not
0,the best love is the kind that awakens the soul  and makes us reach for more   
1,clashupdatenot
0,  super junior s henry asks sasaeng fans to let him sleep  henry oppa    
0,i have officially surrounded myself with the most amazing people  
0,republicans suck more at identifying   than alanis morissette 
1,that is always the solution  not  does not fix anything 
0,name anexcuse that people usenot toworkout   
1, left regressives  is that not a label  
0,but you cannot expect us to hire one in only 3 weeks  who moves that quickly on a coaching search   
1,acelebrity is a person who is known for his well knownness factteamfollowback  
1,is there a basketball game on today  I am not really sure espn seems to not be promoting anything about it   
0,we agreenhsengland needs topublishaande figures overholidayperiod   fromjeremyhunt
0,if you have got the world on a string  you should give me some of that string  think of all the cool applications whatamidoing
0,christmas this christmas that foh its just a day people    get a grip and sit down nd chow some mopani worms
0,warn them that your degree of   depends on them in thisfunny tank top  order now at
0,thegophers are not nervous sammycommentarygophers
0,bitches be like   moreappointmentspleasenot crazy enough    yet   orthodontist
1,i am so glad that i woke up early for this office visit to have to the mother not show up not
0,science of thegardenofeden  edenkenthovindchristianjesuschristc  
0,sickens me that killing innocent black men   children has become such a lucrative career in america mikebrowntrayvonmartinericgarner
0,50km into theraphafestive500 and we stop off for a coffee 1   toes are coming back to life
0,u do really need to get a wee bit more lol
0,so if they undo the affordable care act  and i should expect my insurance to decline 33  notgonnahappen
0,not sure who will take it home 
1,i actually just started crying while brushing my teeth due to lack of sleep  stress and test anxiety  today s gonna be a good one  not
1,do not you just love those people who will not shut up in class then hold everyone back by asking the teacher to repeat answers   
1,oh  believe me  i agree totally  my tweet was pure    we need moreguns  not less  santa is bringing me one 2a
0,thecongressionalreport ontortureconfirms thatalqaeda wasnotinvolved in theattacks ofseptember 11 
0,  makes you mentally stronger  which is very effective when dealing with emotionalstress andfustration   funfactwhatifisay
1,also it is funny how things at work get done when I am on my off week  
0,is this a new recent release 
1,when I am lacking inspiration i resort to scribbling angry pretty things  great start to the week   
0,also it is amazing how a shower and taco bell can make you feel like a new person 
0,visittripplebeammusicpromotions   michigan
0, nuffbobcouldn039tnotrepinrosstattoo please rt 
0,happy birthday becca  i just looked through all of my pictures which you know is a ton and found my  
0,have you lost your zing  working too hard  check out my latest quickie  habituallyinternetmarketnewbie
0,heartless sanghi    indiawithpakistan because a dumb nation deserves to be taken for a ride again and again lakhvi 
1,i guess waking up every couple hours is cool   not
0,istheretoomuch todo orareyounotdelegatingenough  
1,  told to stop work under crew contracts  
0,i need to get out of this car before i kill my dad 
0,everytime i try to like chris brown he does something to royally eff that up  dude is a chronic loose cannonchrisbrownkarrueche
0,bedroomdecoration done lolupstairs just needs a hoover  christmas  decorationsdownstairsnow xx
1,look good feel good notteamnosleepcantopeneyes
0,how much did it cost to buildmygovmedicare  i see this way too often  
0,that sad moment you realize you are past the point of having all those presents under the tree  i wanna move back in 
0,so i may have had a  few  empties to recycle       i  craftbeer
1,yet in ferguson  mo the mayor and gov are dems   
1,abnormal professor walks in with the finals in a zoloft bag  psychhumor
0,in hereford but cannot leave bambino alone 
1,skiing in regents park muchnot
0,rejoice in knowing he is now in his new place   not easy
0,when  make dua for me bro  turns into an hour long conversation
0,a thief  a liar  a vote rigger  mocks those who use food banks and an online bully  
0,what the hell has happened to shahid afridi in last couple of days  left alone more bouncers than played  got a review right pakvnz
1,sub is making class go by so slow that i feel like i am losing brain cells   substitutemoveitalong
0,photographyphotoshopphotosarteyecandybible ontsu        follow
1,yeah someone with hayek and hockey in their name calling someone racist  
0,the rondo  ellis  parsons  dirk  chandler starting line up would be one of my favorites in league  mavs should go all out for rondo 
0,but of course it was  cops could shoot a black man in front of a hospital   i bet you he would still get no aid 
1,i love it when people ignore me   
0,every you are a fucking cunt  lying cunt did i say cunt song is about you now  how cute is thatdefonotpissedoffnope
0,not you  you are on pain medications  
1,what a great christmas   not
0,i hate waking up in the mornings   basicbriannanotanearlybird
0,yeah amazing night  i think he out till the death  I will let u know xx
0,i wish i did better in high school
0,at the toys for lil troops event for donating toys to children of deployed and low income troops 
1,the song was  don t cry for me argentina   
0,i liked a video the ubisoft graduate program   gameplay programming
0,i wonder how many people who visit food banks have huge tvs or are drunks freedomofspeechfoodbanks
0,alien dit   what isreligion  it is a culture that has been invented by afool who wanted to do everything that isnot legallegally  
0,lazying about in a hoodywintertimes
0,forgot to enter  
0,ataxper mile americansshouldnotallowgpstrackingofcars trucks  watch out   as the new year  
0,long distance relationships are serious sh tnot ayoba  
1,happy birthday to me imgettinoldnotionlygetbetter roll tide 
0,we are mad gamers    follow wellingtonnewzealand
0,so not okay with db s racist jokes 
0,notcieseu european council  press conference by donald tusk  jean claude juncker   and matteo renzi 
1,u bragged all yr about having peyton in 2 leagues only to get beat in the 1st round in both     
0,the feeling you get  when you just wanna flip the table and screw the finals 
0,they working me so hard tonite
0,this vine will not come up   
0,lancestephensonnottravelingwithteamon two gameroadtrip  stephenson is still unable to run fully  
1,jeez i wish the government paid for my food notebtbitches
0,hey   some of your geeky nerdy followers need   marker on posts like that  otherwise  they will start doing exactly the same   
1,pretty shitty day I am gonna be soaked and full of mud and clayiliketogetdirtynotreally  
0,when you refer to yourself in the plural  you will get that
1,that moment when the ad plays flawlessly but the video keeps buffering  youtube
1,gotta love a romanian playing an improvised version of jingle bells in a minor key  really sets the festive mood not
1,perfect time to get sick  not
0,I am giving up a lot of stuff to make sure others are happy   i wonder if anyone ever look past my appearance and see what I am feeling  
0,merry christmas to all my friends and family   santa just finished at my house  
0,  video  smartphone can pay you to post    iphonesamsungs4s3ipadtabletmlm start 
0,i see the   of my last 3 tweets combined was lost entirely on a certain someone   faith in humanity   3    
0,lol hilarious pic rt   what a game  win 
0,you have set yourself some target to achieve there like lovehot ornot
0,change is a process     not an event dafuq you thinking
1,my son gave me a cold  again   yay   notexcitedaboutthisshitatall
0,asale isnotsomething youpursue  it swhathappens to youwhile you areimmersed inserving your  
1, malala is fake and planted by the us coz pakistan is perfectly safe for kids going to school peshawarattack  
0,seriously has thebbl04 got the tallest on ground interviewers of all timetalltowerssevenfoot
0,funny18  turn on aquabreeze   disgustinghotels    not all men
1,yay jury duty    
0,i may have played a part  but i wont take sole credit   
0,i thought it was  what i call  the wet look lol
1,a burned tongue is a lovely way to start the day  ouch
1,literally functioning on 4 hours of sleep and i feel great     notcollegeiskillingmeonemoreweek
0,when ya mates dad starts poking you on facebookcringe   
1,the   is anti state ppl will claim the little man  hacker  won when in reality the state wonsony
1,howtogetunfollowed post pictures or videos of you smoking  especially blowing smoke at the camera socoolnotgtfo
0,these refs are pissing me off  they seriously have no idea of what is going on 
0,has anyone visualised the different colours and flavours of twitter streams  kinda lipmus test 
0,psychic advice weekdays at 9am  pdt  on psychic view radio  call in 347 850 1494 to ask your question blogtalkradio
1,so ill  it actually hurts to breathe  still that nice long walk to the station did me the world of goodnot
1,then later he snuggles up to the royals with giddy glee  
1,blue skies  warm air  and the royal accommodation whatmoredoesoneneededucation not  
1,it is international human rights day  
1,so jeremy irons and alan rickman are both in marrakech just one week before I am going thereeverythingisfinenotsonot
0,i take it you are not in england then    
0,smile for thephotook they saidboystroublefunnyfootballkidsadorablefriends
0,when hailey i play trivia crack she wants the sports   entertainment while i aim for the science and history hahahah
1,thanks for pirating my music   dnot
0,welcome to the surrealist estate agency  
0,averageballnotpartypingponghomedecor please rt 
0,the fucking car just gave up   cardiednot happy
1,i like the feeling when people thinks they are 2 steps ahead of me   but the truth is they are miles and miles behind me ahahahaha   
1,bm  gives me  from 3 pm to 8 pm with my son today  that is fair huh not 
1,and if marathi man speak hindi to chu   samajhte hai  
1,lesson learnt  herd of sheep who fought over tvs onblackfriday struggling to sell them  capitalism
1,tomorrow three test signature  thank you    school  
1,soguardiansofpeace win by threatening to destroy thepeace    what a  
0,my babygirl has an imaginary friend it is so cute to watch her talk to it 
0,ukartistonly present ukuntoldstorymixtapegetonducmg
0,they saynotresponsible and yournotworthit to offer even  10discounts for the worstcustomerservice i have ever had 
0,thanks gori san  djgorinot for sale
0,we may be some time hibernotnot
0,I am still going to exeter whether they care or not
0,  ndp to introduce bill to make ohip publicnot appropriate   confidentiality
0,oregon marching band playing music awesomeoregonducksoregonvsfloridastaterosebowl2015
0,we do not have a good enough singles depth atm to even account for doubles the problem has never been doubles always singles
1,yay yet another week with a child home from school ill  just a hint of   to brighten my day 
0,smiles when there ismoney  scowls when there isnot  recognition when there ismoney  ignorance when there isnot               god   
0,hey i seen u have followed me and i was going to ask to check out my channel and help me with a shoutout for subscribers   
0,urban glam high heel earrings  7 leave email for invoice
1,gotta love being lied to  not
0,ladies would not use that language but i guess you are not one 
0,i hate you lol
0,i did not know it is your territory i really     what are you doin  no    please do not shoot at me i   
0,shopping day with ms 15 today  her haul included new docs  eyeliner  bras  new issue frankie mag  and half of kikki k  tired and broke now 
0,sweet jeebus  mt cryosat   jason 2 confirm very high to phenomenal seas generated by north atlantic low
0,hyper at 1am when i really should be getting restohwhale   
1,we were miles apart but you found me  now we are close enough  still apart  
0,drinking a southern triangle ipa by at   
1,american red cross van  together we can save lives    and the driver is smoking   
0,it also makes me want to post this  
1,birthcontrollolwtfwhatisbirthcontrol great commercial  
1,oh how i love working in baltimorenot
0,fans watchtylerfarr in concert at countrymusicthrowdown1035tampa
1,so I am the school nurse today  and i have a fever   
0,bbcnews   usa   jebbush toexplorewhitehousebid 
1,thanks for the dick pic  really  thanks   
0,spawn of larry ellison aka world s worst human
1,really loves dentist appointments   
0,now to write a javascript regexp that allows   and   in e mail addresses  
0,3 more nights 3 more nights   londoncalling
0,a lot of factors at play but i think you do retain him at max  hopefully the ft s hurt his market a bit  selfishly speaking 
0,you are a tough bugger  p
1,I am shocked that mark may does not think the buckeyes should be in the playoff    
1,google scholarship application kept crashing in chrome  opened it in ie  finished application without incident   
0,analfrenchchocolate chocolate babe gets dicks in asshole
1,set my alarm for pm not am  guess you could say I have got my life togethernot sorry pearlburg mom and jesus
0,just entered the competition for tickets to the final  fingers crossed
1,gun nut yells at cops conducting dui checkpoint  later hit by drunk driver on way home  karma
0,for theyoga people out there  this is a down faced dog dinner merrychristmas
1,have you ever seen the like    republican move  that will  effectively rob the royal family   kate s 32k meal  
1,it is snowing in chicagowhitechristmasnot
1,oh i just love when i wake up with a migraine  notneedmeds
0,oh oh mum isnotgoing to bepleasedlittletike
